#  aims_uuid : 7CDA01C6-B7A9-4AFE-A551-A02111945B48                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        2.10509284        0.02291808        1.97755608        0.07600089        0.02861780
       -9.99749937        0.43945864        0.00826927        0.40739051        0.02074383        0.00305503
       -9.99499875        0.42414526        0.00754849        0.39396628        0.01986199        0.00276850
       -9.99249812        0.41324896        0.00690408        0.38471379        0.01908359        0.00254750
       -9.98999750        0.39492042        0.00633829        0.36827566        0.01796570        0.00234077
       -9.98749687        0.41883424        0.00623627        0.39204852        0.01826457        0.00228488
       -9.98499625        0.40350043        0.00595290        0.37828068        0.01711922        0.00214764
       -9.98249562        0.43886157        0.00612642        0.41284685        0.01775250        0.00213581
       -9.97999500        0.43914385        0.00611720        0.41351083        0.01736403        0.00215178
       -9.97749437        0.43977849        0.00616838        0.41436838        0.01703716        0.00220456
       -9.97499375        0.43870226        0.00626129        0.41359444        0.01659295        0.00225359
       -9.97249312        0.43591517        0.00639593        0.41118898        0.01603139        0.00229887
       -9.96999250        0.43141722        0.00657232        0.40715203        0.01535248        0.00234040
       -9.96749187        0.55765846        0.00844938        0.52709079        0.01889078        0.00322750
       -9.96499125        0.50752880        0.00793441        0.47737038        0.01918558        0.00303844
       -9.96249062        0.45820306        0.00737177        0.42920528        0.01881063        0.00281538
       -9.95999000        0.40968122        0.00676146        0.38259550        0.01776594        0.00255831
       -9.95748937        0.36196328        0.00610348        0.33754105        0.01605151        0.00226724
       -9.95498875        0.36990202        0.00629412        0.34381417        0.01737905        0.00241469
       -9.95248812        0.34501880        0.00591589        0.32044504        0.01638698        0.00227089
       -9.94998750        0.32031260        0.00550624        0.29740939        0.01527796        0.00211901
       -9.94748687        0.34649153        0.00613384        0.32114627        0.01684595        0.00236547
       -9.94498625        0.32648425        0.00579024        0.30255599        0.01589668        0.00224134
       -9.94248562        0.30660169        0.00544754        0.28408985        0.01494793        0.00211637
       -9.93998500        0.28684386        0.00510574        0.26574785        0.01399970        0.00199057
       -9.93748437        0.26721075        0.00476484        0.24753000        0.01305199        0.00186393
       -9.93498375        0.24770237        0.00442484        0.22943628        0.01210480        0.00173645
       -9.93248312        0.22831872        0.00408574        0.21146671        0.01115813        0.00160814
       -9.92998250        0.20905979        0.00374755        0.19362127        0.01021198        0.00147900
       -9.92748187        0.20028836        0.00349860        0.18570613        0.00970924        0.00137439
       -9.92498125        0.19979681        0.00332075        0.18561110        0.00956595        0.00129902
       -9.92248062        0.19767202        0.00312968        0.18394884        0.00936170        0.00123180
       -9.91997999        0.19439265        0.00293205        0.18115791        0.00912610        0.00117659
       -9.91747937        0.19226477        0.00278636        0.17932150        0.00900253        0.00115437
       -9.91497874       11.91888916        0.46786843       10.61827193        0.73664719        0.09610161
       -9.91247812        0.23953495        0.00394164        0.22247361        0.01148866        0.00163104
       -9.90997749        0.24875171        0.00409589        0.23083093        0.01202645        0.00179844
       -9.90747687        0.25618243        0.00417360        0.23751334        0.01250253        0.00199296
       -9.90497624        0.33446839        0.00629103        0.30846859        0.01684409        0.00286468
       -9.90247562        0.37461055        0.00706468        0.34487358        0.01918966        0.00348263
       -9.89997499        0.41190262        0.00757047        0.37869932        0.02145606        0.00417678
       -9.89747437        0.44610499        0.00780135        0.40972679        0.02363151        0.00494534
       -9.89497374        0.47722658        0.00775807        0.43796345        0.02571665        0.00578840
       -9.89247312        0.51373854        0.00761124        0.47124935        0.02810949        0.00676846
       -9.88997249        0.28766831        0.00500116        0.26427217        0.01497679        0.00341819
       -9.88747187        0.20216461        0.00397151        0.18578928        0.01039460        0.00200921
       -9.88497124        0.18279639        0.00359693        0.16818492        0.00928843        0.00172611
       -9.88247062        0.16339320        0.00322054        0.15050703        0.00820362        0.00146201
       -9.87996999        0.14395504        0.00284233        0.13275562        0.00714017        0.00121693
       -9.87746937        0.12448193        0.00246230        0.11493069        0.00609809        0.00099085
       -9.87496874        0.10497384        0.00208045        0.09703223        0.00507738        0.00078379
       -9.87246812        0.53561691        0.00520818        0.49784399        0.02947047        0.00309427
       -9.86996749        0.80369072        0.00819547        0.75370578        0.03717428        0.00461518
       -9.86746687        1.38113296        0.01503478        1.30514422        0.05263400        0.00831995
       -9.86496624        0.71515135        0.00885640        0.66678735        0.03418683        0.00532077
       -9.86246562        0.60209157        0.00851260        0.55520457        0.03305657        0.00531783
       -9.85996499        0.39076073        0.00642678        0.35819889        0.02255858        0.00357648
       -9.85746437        0.35072075        0.00588344        0.31730131        0.02322326        0.00431274
       -9.85496374        0.24403967        0.00470545        0.22085318        0.01545187        0.00302916
       -9.85246312        0.19922321        0.00409854        0.18167444        0.01112006        0.00233016
       -9.84996249        0.19403632        0.00448117        0.17674444        0.01063495        0.00217575
       -9.84746187        0.18760376        0.00475306        0.17070351        0.01012127        0.00202591
       -9.84496124        0.17992554        0.00491419        0.16355166        0.00957903        0.00188066
       -9.84246062        0.17100165        0.00496458        0.15528888        0.00900821        0.00173998
       -9.83995999        0.19529196        0.00513519        0.17817445        0.01007614        0.00190619
       -9.83745936        0.18562212        0.00499306        0.16932486        0.00951526        0.00178894
       -9.83495874        0.17564079        0.00477472        0.16024562        0.00893944        0.00168101
       -9.83245811        0.17100495        0.00470649        0.15598274        0.00868678        0.00162894
       -9.82995749        0.16643230        0.00461880        0.15179469        0.00844092        0.00157789
       -9.82745686        0.23708370        0.00478389        0.21796624        0.01254024        0.00179333
       -9.82495624        0.23504239        0.00470160        0.21618076        0.01239538        0.00176465
       -9.82245561        0.23287690        0.00460043        0.21429136        0.01224813        0.00173698
       -9.81995499        0.23058722        0.00448039        0.21229803        0.01209847        0.00171033
       -9.81745436        0.22817336        0.00434148        0.21020077        0.01194641        0.00168470
       -9.81495374        0.22563532        0.00418370        0.20799959        0.01179196        0.00166008
       -9.81245311        0.22297310        0.00400704        0.20569448        0.01163511        0.00163648
       -9.80995249        0.22133411        0.00389546        0.20431728        0.01150076        0.00162062
       -9.80745186        0.22186977        0.00395103        0.20488749        0.01141187        0.00161939
       -9.80495124        0.22700911        0.00441273        0.20944951        0.01149337        0.00165349
       -9.80245061        0.23452004        0.00504937        0.21609641        0.01166873        0.00170554
       -9.79994999        0.24195965        0.00564708        0.22270568        0.01184920        0.00175769
       -9.79744936        0.24932793        0.00620586        0.22927733        0.01203479        0.00180995
       -9.79494874        0.25662487        0.00672571        0.23581135        0.01222549        0.00186231
       -9.79244811        0.26385048        0.00720663        0.24230776        0.01242131        0.00191479
       -9.78994749        0.27100476        0.00764861        0.24876654        0.01262224        0.00196737
       -9.78744686        0.27808770        0.00805166        0.25518769        0.01282829        0.00202005
       -9.78494624        0.28509931        0.00841578        0.26157123        0.01303946        0.00207285
       -9.78244561        0.29203959        0.00874096        0.26791714        0.01325574        0.00212575
       -9.77994499        0.29890854        0.00902722        0.27422542        0.01347714        0.00217876
       -9.77744436        0.30570616        0.00927454        0.28049609        0.01370365        0.00223187
       -9.77494374        0.30684307        0.00938456        0.28147354        0.01374156        0.00224341
       -9.77244311        0.29392746        0.00920842        0.26935741        0.01322946        0.00213216
       -9.76994249        0.19252906        0.00523277        0.17683657        0.00895119        0.00150852
       -9.76744186        0.08729057        0.00147800        0.08043602        0.00451408        0.00086247
       -9.76494124        0.07174703        0.00126822        0.06591096        0.00382215        0.00074570
       -9.76244061        0.05791092        0.00107526        0.05302285        0.00317752        0.00063529
       -9.75993998        0.04578224        0.00089912        0.04177169        0.00258021        0.00053122
       -9.75743936        0.03536098        0.00073979        0.03215749        0.00203020        0.00043350
       -9.75493873        0.03310921        0.00071362        0.03011304        0.00187348        0.00040906
       -9.75243811        0.03321306        0.00074005        0.03023773        0.00183498        0.00040031
       -9.74993748        0.04329692        0.00084706        0.03992116        0.00208600        0.00044270
       -9.74743686        0.08652962        0.00125854        0.08125831        0.00334964        0.00066314
       -9.74493623        0.12681405        0.00169368        0.11962755        0.00460943        0.00088339
       -9.74243561        0.16415022        0.00215251        0.15502889        0.00586537        0.00110344
       -9.73993498        0.19853811        0.00263501        0.18746233        0.00711747        0.00132330
       -9.73743436        0.22997773        0.00314119        0.21692785        0.00836572        0.00154297
       -9.73493373        0.25846909        0.00367104        0.24342548        0.00961012        0.00176245
       -9.73243311        0.28401217        0.00422457        0.26695519        0.01085068        0.00198173
       -9.72993248        0.30660699        0.00480178        0.28751701        0.01208739        0.00220082
       -9.72743186        0.32625353        0.00540266        0.30511091        0.01332025        0.00241971
       -9.72493123        0.34295181        0.00602722        0.31973692        0.01454926        0.00263841
       -9.72243061        0.35670182        0.00667546        0.33139501        0.01577443        0.00285692
       -9.71992998        0.36750356        0.00734737        0.34008521        0.01699575        0.00307523
       -9.71742936        1.19484698        0.02308361        1.10595283        0.05590295        0.00990759
       -9.71492873        0.43702298        0.00876376        0.40499075        0.01970966        0.00355881
       -9.71242811        0.24038015        0.00529237        0.22244921        0.01068139        0.00195718
       -9.70992748        0.15258171        0.00284649        0.14296431        0.00572478        0.00104614
       -9.70742686        0.14090255        0.00265877        0.13214134        0.00514909        0.00095335
       -9.70492623        0.12910135        0.00246305        0.12118373        0.00459267        0.00086190
       -9.70242561        0.11717810        0.00225933        0.11009147        0.00405553        0.00077177
       -9.69992498        0.10513281        0.00204761        0.09886456        0.00353767        0.00068297
       -9.69742436        0.09296547        0.00182789        0.08750299        0.00303909        0.00059549
       -9.69492373        0.08067609        0.00160018        0.07600678        0.00255979        0.00050935
       -9.69242311        0.10354039        0.00154883        0.09549703        0.00559172        0.00090282
       -9.68992248        0.13353768        0.00165717        0.12178568        0.00877059        0.00132425
       -9.68742186        0.12909827        0.00150910        0.11747791        0.00883692        0.00127435
       -9.68492123        0.12457151        0.00135715        0.11308528        0.00890199        0.00122708
       -9.68242061        0.11995739        0.00120134        0.10860780        0.00896581        0.00118244
       -9.67991998        0.11657233        0.00108390        0.10526010        0.00907740        0.00115093
       -9.67741935        0.11923391        0.00109591        0.10763519        0.00934523        0.00115758
       -9.67491873        0.12762346        0.00122020        0.11547655        0.00973036        0.00119636
       -9.67241810        0.13604771        0.00134861        0.12336772        0.01009495        0.00123644
       -9.66991748        0.14450665        0.00148114        0.13130867        0.01043901        0.00127782
       -9.66741685        0.15300028        0.00161781        0.13929943        0.01076253        0.00132051
       -9.66491623        0.16152860        0.00175861        0.14733997        0.01106552        0.00136449
       -9.66241560        0.17009161        0.00190353        0.15543032        0.01134798        0.00140978
       -9.65991498        0.17868931        0.00205258        0.16357046        0.01160990        0.00145637
       -9.65741435        0.18732170        0.00220576        0.17176039        0.01185128        0.00150427
       -9.65491373        0.19598878        0.00236307        0.18000012        0.01207213        0.00155346
       -9.65241310        0.19955224        0.00245948        0.18361669        0.01189801        0.00157806
       -9.64991248        0.18643620        0.00237539        0.17190074        0.01065373        0.00150633
       -9.64741185        0.17346950        0.00228207        0.16027142        0.00948589        0.00143011
       -9.64491123        0.16065213        0.00217951        0.14872873        0.00839449        0.00134940
       -9.64241060        0.14798409        0.00206772        0.13727266        0.00737952        0.00126420
       -9.63990998        0.17097572        0.00214956        0.15948142        0.00790503        0.00143971
       -9.63740935        0.28953623        0.00518001        0.26561384        0.01659111        0.00215127
       -9.63490873        0.42684886        0.00801534        0.39115214        0.02453899        0.00314239
       -9.63240810        0.56038240        0.00984621        0.51666637        0.02955747        0.00431235
       -9.62990748        0.69013686        0.01067264        0.64215652        0.03164655        0.00566115
       -9.62740685        0.22267039        0.00224701        0.20762624        0.01110619        0.00169095
       -9.62490623        0.25427186        0.00277731        0.23657615        0.01299616        0.00192223
       -9.62240560        0.28392982        0.00334811        0.26357283        0.01487331        0.00213556
       -9.61990498        0.31164426        0.00395940        0.28861628        0.01673764        0.00233094
       -9.61740435        0.34161708        0.00463637        0.31566543        0.01878735        0.00252793
       -9.61490373        0.25839529        0.00345885        0.23845914        0.01451927        0.00195804
       -9.61240310        0.16231696        0.00193952        0.14996412        0.00913263        0.00128069
       -9.60990248        0.16652626        0.00198996        0.15376924        0.00945109        0.00131596
       -9.60740185        0.17089220        0.00204255        0.15773675        0.00975861        0.00135429
